sn,id,name,domain_name
490,383301,市立景美女中,cmgsh.tp.edu.tw
491,383302,市立萬芳高中,wfsh.tp.edu.tw
492,393301,市立南港高中,nksh.tp.edu.tw
493,393302,市立育成高中,yucsh.tp.edu.tw
494,401301,私立文德女中,sfgsh.tp.edu.tw
495,401302,私立方濟中學,sfh.tp.edu.tw
496,401303,私立達人女中,trgsh.tp.edu.tw
497,403301,市立內湖高中,nhsh.tp.edu.tw
498,403302,市立麗山高中,lssh.tp.edu.tw
499,403303,市立南湖高中,nhush.tp.edu.tw
500,411301,私立泰北高中,tpsh.tp.edu.tw
501,411302,私立衛理女中,wlgsh.tp.edu.tw
502,411303,私立華興中學,hhhs.tp.edu.tw
503,413301,市立陽明高中,ymsh.tp.edu.tw
504,413302,市立百齡高中,blsh.tp.edu.tw
505,421301,私立薇閣高中,wghs.tp.edu.tw
506,421302,臺北市幼華高中,shvs.tp.edu.tw
507,421303,臺北市私立奎山實驗高級中學,kshs.tp.edu.tw
508,423301,市立復興高中,fhsh.tp.edu.tw
509,423302,市立中正高中,ccsh.tp.edu.tw
510,521301,天主教明誠高中,mcsh.kh.edu.tw
511,521303,私立大榮高中,dystcs.kh.edu.tw
512,523301,市立鼓山高中,kusjh.kh.edu.tw
513,533301,市立左營高中,tyhs.edu.tw
514,533302,市立新莊高中,hchs.kh.edu.tw
515,543301,市立中山高中,cshs.kh.edu.tw
516,543302,市立楠梓高中,nths.kh.edu.tw
517,551301,私立立志高中,lcvs.kh.edu.tw
518,553301,市立高雄中學,kshs.kh.edu.tw
519,553302,市立三民高中,smhs.kh.edu.tw
520,563301,市立新興高中,hhhs.kh.edu.tw
521,573301,市立高雄女中,kghs.kh.edu.tw
522,581301,私立復華高中,fhhs.kh.edu.tw
523,581302,天主教道明中學,dmhs.kh.edu.tw
524,583301,市立中正高中,cchs.kh.edu.tw
525,593301,市立前鎮高中,cjhs.kh.edu.tw
526,593302,市立瑞祥高中,rssh.kh.edu.tw
527,613301,市立小港高中,hkhs.kh.edu.tw
